SUBDIVISION,YEAR,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
NAGA MANI MIZO TRIPURA,2006,12.9,498.8,1253.2,107.1
NAGA MANI MIZO TRIPURA,2007,62.6,525.8,1676.6,273.2
NAGA MANI MIZO TRIPURA,2008,44.4,305.3,1243,156.1
NAGA MANI MIZO TRIPURA,2009,3.2,330.1,1219.9,184.5
NAGA MANI MIZO TRIPURA,2010,8.9,541.4,1482,262.9
NAGA MANI MIZO TRIPURA,2011,16.1,467.4,1313.4,95.2
NAGA MANI MIZO TRIPURA,2012,34.7,427.3,1267.6,193.3
NAGA MANI MIZO TRIPURA,2013,5.9,428.9,995.2,127.1
NAGA MANI MIZO TRIPURA,2014,22.2,267.5,1237.2,73
SUB HIMALAYAN WEST BENGAL & SIKKIM,1998,50.5,533.4,2846.8,224.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1999,14.9,509.3,2537.9,261.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2000,46.9,566.6,2187.8,106.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2001,24.5,532.2,1730.5,325.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,2002,40.1,514.4,1897.2,95.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2003,96.3,473.3,1895.1,258.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2004,31.4,491.5,1980.1,211.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,2005,40.6,541.6,1945.1,280.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,2006,17.7,429.6,1668.2,146.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2007,84.2,421.7,2042.5,90.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2008,55.3,393,2117.3,124.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2009,46.3,478.9,1549.6,249.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,2010,25.2,590,1920.8,76.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2011,28.4,453.9,1858.6,77.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2012,29.2,407.7,2056,139.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2013,26.7,443.4,1717.6,218.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,2014,26.9,394.2,1862.6,38.9
GANGETIC WEST BENGAL,1998,83.9,268.9,1011.5,268.4
GANGETIC WEST BENGAL,1999,0.8,230,1517.2,209
GANGETIC WEST BENGAL,2000,67.4,272.8,1153.9,77.9
GANGETIC WEST BENGAL,2001,2.2,258,1108,172.4
GANGETIC WEST BENGAL,2002,27.8,218.1,1244.9,122.5
GANGETIC WEST BENGAL,2003,12.2,188.2,928.2,368.1
GANGETIC WEST BENGAL,2004,4.9,150.7,1192.3,221.5
GANGETIC WEST BENGAL,2005,38.6,207,1002.6,356.6
GANGETIC WEST BENGAL,2006,3.9,191.9,1408.8,55.9
GANGETIC WEST BENGAL,2007,60.1,176.7,1624.2,80.4
GANGETIC WEST BENGAL,2008,61.8,148.8,1272.3,72.4
GANGETIC WEST BENGAL,2009,3.8,249.5,974.6,87.1
GANGETIC WEST BENGAL,2010,10.5,151.3,770.7,132.2
GANGETIC WEST BENGAL,2011,5.2,248.1,1393.6,39.6
GANGETIC WEST BENGAL,2012,56,106.3,969.9,135.8
GANGETIC WEST BENGAL,2013,12.5,246.3,1152,353.3
GANGETIC WEST BENGAL,2014,43.1,146.2,1014.4,57.7
ORISSA,1998,59.8,149.1,934.8,213.4
ORISSA,1999,0.8,168.9,1085.3,229.3
ORISSA,2000,34.2,97,937.6,28.3
ORISSA,2001,1.8,132,1433.2,105.6
ORISSA,2002,11.9,105.7,930.2,54.9
ORISSA,2003,16.3,68.9,1235.7,327.3
ORISSA,2004,14.8,85.3,1038.9,151.4
ORISSA,2005,33.4,90.1,1153.5,226.4
ORISSA,2006,0.2,160.5,1508.8,47.4
ORISSA,2007,33.2,91.8,1428.4,80.4
ORISSA,2008,37.9,83.1,1393.2,24.8
ORISSA,2009,2.4,72,1122.7,133.2
ORISSA,2010,9.9,106.4,969.9,205.7
ORISSA,2011,19.8,138.7,1167,20.7
ORISSA,2012,54.4,57,1153.3,141.3
ORISSA,2013,11.2,113.4,1115.6,392.2
ORISSA,2014,17.7,148.7,1255.7,114.8
JHARKHAND,1998,97,133.4,964.1,159.3
JHARKHAND,1999,0.7,97,1345.1,144.1
JHARKHAND,2000,24.7,93.6,1053.4,19.7
JHARKHAND,2001,5.8,101.4,1031.5,115.7
JHARKHAND,2002,14.4,60.9,902.5,57.1
JHARKHAND,2003,33.9,73.1,869,269.1
JHARKHAND,2004,8.2,75.2,923.5,129.7
JHARKHAND,2005,39.6,50.7,779.5,90.5
JHARKHAND,2006,0.5,145.5,1281.4,32
JHARKHAND,2007,50.1,105.8,1234.1,47.2
JHARKHAND,2008,22.9,59.7,1207.7,35
JHARKHAND,2009,2.6,80.8,826.1,86.6
JHARKHAND,2010,2.5,36.4,578.4,79.8
JHARKHAND,2011,5.8,86.8,1258.7,23.4
JHARKHAND,2012,45,17.7,908.3,94
JHARKHAND,2013,19,109,844.5,281.1
JHARKHAND,2014,57.4,123.1,930.1,46.1
BIHAR,1998,19.6,88.4,1127,97.5
BIHAR,1999,0.3,87.8,1192.9,121.7
BIHAR,2000,12.7,137,1047.7,9.7
BIHAR,2001,1.5,114,949.8,181.8
BIHAR,2002,24.6,102.1,943.2,35.8
BIHAR,2003,52.9,73.5,1082.3,145.2
BIHAR,2004,24.8,107,956.4,59.5
BIHAR,2005,28.2,48.5,796.7,34.5
BIHAR,2006,0.1,94.3,936.3,22.1
BIHAR,2007,34.3,140.2,1369.4,56.2
BIHAR,2008,30,62.6,1083.5,21.6
BIHAR,2009,0.7,102.5,707.7,78.4
BIHAR,2010,1.3,51.1,536.2,40.7
BIHAR,2011,11.8,107.6,964.8,12.9
BIHAR,2012,20.9,46.5,924.4,40.6
BIHAR,2013,27.7,122.4,722.2,197.5
BIHAR,2014,50.5,112.9,848.6,49
EAST UTTAR PRADESH,1998,18.1,41,584.4,17.5
EAST UTTAR PRADESH,1999,15.5,23.8,839.4,74.1
EAST UTTAR PRADESH,2000,7.9,52,867.4,19.5
EAST UTTAR PRADESH,2001,2.6,32.2,860.9,78.1
EAST UTTAR PRADESH,2002,41.1,32.2,591.1,24.7
EAST UTTAR PRADESH,2003,50.7,13.4,1015.3,16.9
EAST UTTAR PRADESH,2004,24.6,34.5,654.6,33.2
EAST UTTAR PRADESH,2005,28,19.2,694.8,28.2
EAST UTTAR PRADESH,2006,0,45.6,574.8,11.8
EAST UTTAR PRADESH,2007,46.7,57.2,621.6,15.7
EAST UTTAR PRADESH,2008,5.5,19.3,917.6,10.9
EAST UTTAR PRADESH,2009,1.1,24.2,496,88.9
EAST UTTAR PRADESH,2010,12.2,14.7,645.2,20.1
EAST UTTAR PRADESH,2011,3.7,36.7,740.2,0.6
EAST UTTAR PRADESH,2012,21.5,6.4,573.1,1.8
EAST UTTAR PRADESH,2013,65.8,12.6,864,99
EAST UTTAR PRADESH,2014,73.3,27.7,517.1,83.1
WEST UTTAR PRADESH,1998,11.4,42.9,772.7,40.2
WEST UTTAR PRADESH,1999,20.5,8.3,723.5,34.2
WEST UTTAR PRADESH,2000,31.7,27.4,712.2,0.1
WEST UTTAR PRADESH,2001,4.8,44.2,595.2,17.6
WEST UTTAR PRADESH,2002,54.5,24.2,529,17.6
WEST UTTAR PRADESH,2003,59,12.9,960.5,15.1
WEST UTTAR PRADESH,2004,21.3,41.7,517.9,61.4
WEST UTTAR PRADESH,2005,28,30.7,663.9,3.1
WEST UTTAR PRADESH,2006,0.5,58.3,452,18.4
WEST UTTAR PRADESH,2007,67.3,49.3,452.7,3.2
WEST UTTAR PRADESH,2008,1.2,28.8,760.7,9.1
WEST UTTAR PRADESH,2009,5.2,22.7,445.3,76
WEST UTTAR PRADESH,2010,16.8,10,772.3,21.6
WEST UTTAR PRADESH,2011,12.5,36.3,725.9,2.7
WEST UTTAR PRADESH,2012,14.5,6.4,366,2.7
WEST UTTAR PRADESH,2013,89.9,7.2,763.8,71.8
WEST UTTAR PRADESH,2014,77.7,39,339.4,30.8
UTTARAKHAND,1998,78,257.7,786.2,76.7
UTTARAKHAND,1999,44.4,53.1,1051.2,36.8
UTTARAKHAND,2000,99.3,139.4,1465.4,8.8
UTTARAKHAND,2001,50.6,240.7,1230.3,22.9
UTTARAKHAND,2002,177,258.5,1112.1,27.1
UTTARAKHAND,2003,166.7,220.9,1316.6,30.2
UTTARAKHAND,2004,70.2,117.6,954.7,77.1
UTTARAKHAND,2005,147.3,119.1,1061.3,20.5
UTTARAKHAND,2006,58.3,244.4,823.7,52.6
UTTARAKHAND,2007,140.6,243,1491.2,49.6
UTTARAKHAND,2008,67.3,178.4,1082.3,35.7
UTTARAKHAND,2009,29.4,114.8,608.7,94.9
UTTARAKHAND,2010,73.6,64.5,1253.9,32
UTTARAKHAND,2011,96.1,133.1,1328.5,6.9
UTTARAKHAND,2012,50.8,76.4,1073.1,23.6
UTTARAKHAND,2013,261.3,65,1373,36.2
UTTARAKHAND,2014,145.8,158.8,897.7,85.1
HARYANA DELHI & CHANDIGARH,1998,25,40.6,535.6,84
HARYANA DELHI & CHANDIGARH,1999,32.4,21.5,285.4,5.1
HARYANA DELHI & CHANDIGARH,2000,46.2,25.6,311.1,1.6
HARYANA DELHI & CHANDIGARH,2001,23,74.8,376.3,11.4
HARYANA DELHI & CHANDIGARH,2002,42.7,62.1,241.8,10.7
HARYANA DELHI & CHANDIGARH,2003,44.6,13.3,528.5,11.2
HARYANA DELHI & CHANDIGARH,2004,25.7,58.8,347.5,55.3
HARYANA DELHI & CHANDIGARH,2005,49.6,40.3,428.8,0.8
HARYANA DELHI & CHANDIGARH,2006,2.4,55.7,262.6,10.2
HARYANA DELHI & CHANDIGARH,2007,76.5,54.6,313.7,1.7
HARYANA DELHI & CHANDIGARH,2008,2.8,86.9,606.6,14.1
HARYANA DELHI & CHANDIGARH,2009,10,35.2,346.3,4
HARYANA DELHI & CHANDIGARH,2010,15,7.2,600.8,17.5
HARYANA DELHI & CHANDIGARH,2011,27.5,44.4,439.8,0.4
HARYANA DELHI & CHANDIGARH,2012,8.4,15.8,360.7,6.5
HARYANA DELHI & CHANDIGARH,2013,73.2,10,363.3,14.7
HARYANA DELHI & CHANDIGARH,2014,30.3,54.6,200.2,20.3
PUNJAB,1998,58.7,47.3,432.6,50.1
PUNJAB,1999,49,26.8,287.9,0.7
PUNJAB,2000,52,23.5,326.9,2.9
PUNJAB,2001,10.1,67.5,357.1,6.2
PUNJAB,2002,9,31,228.4,6.3
PUNJAB,2003,67,26.2,324.3,7.1
PUNJAB,2004,38,42.7,234,37
PUNJAB,2005,96.1,42.2,413.4,0.4
PUNJAB,2006,18.7,79.5,504.8,44.7
PUNJAB,2007,70,64.1,448.6,12.1
PUNJAB,2008,16.1,60.3,629.3,11.4
PUNJAB,2009,23.9,30.1,300.1,7.1
PUNJAB,2010,17.6,8.6,395.1,30.2
PUNJAB,2011,39.2,44.9,617.5,3.6
PUNJAB,2012,65.8,34.7,379.6,13.6
PUNJAB,2013,59.4,18.6,479.7,28.9
PUNJAB,2014,41.9,75.5,244.6,20.7
HIMACHAL PRADESH,1998,147.3,252.3,854.3,127.7
HIMACHAL PRADESH,1999,163.5,138.8,804.8,37.8
HIMACHAL PRADESH,2000,237.2,173.7,640,17.5
HIMACHAL PRADESH,2001,66.2,240,622.5,63.1
HIMACHAL PRADESH,2002,203.2,287.9,486.6,12.8
HIMACHAL PRADESH,2003,156.1,201.9,613.3,63.2
HIMACHAL PRADESH,2004,129.3,118.3,467.5,163.5
HIMACHAL PRADESH,2005,370.7,230.9,640.3,6.6
HIMACHAL PRADESH,2006,140.7,250,732.1,95.6
HIMACHAL PRADESH,2007,122.3,225.9,631,55.4
HIMACHAL PRADESH,2008,193.1,93.6,749.4,78
HIMACHAL PRADESH,2009,100.7,188.2,550.3,117.2
HIMACHAL PRADESH,2010,122.1,186.8,851.2,99.4
HIMACHAL PRADESH,2011,141.3,157.3,796.6,13.2
HIMACHAL PRADESH,2012,143.5,93.7,686.3,28.1
HIMACHAL PRADESH,2013,262.5,138.1,748.2,63.2
HIMACHAL PRADESH,2014,194.5,254.6,486.6,73
JAMMU & KASHMIR,1998,372.2,453.3,449.3,51.1
JAMMU & KASHMIR,1999,239.4,163.5,415.5,72
JAMMU & KASHMIR,2000,266.2,171.9,485.9,60.6
JAMMU & KASHMIR,2001,71.7,244.1,546.3,90.6
JAMMU & KASHMIR,2002,159.9,224.8,488.3,30.5
JAMMU & KASHMIR,2003,294.2,399.7,488.5,128.8
JAMMU & KASHMIR,2004,246.6,227.6,331.8,138.9
JAMMU & KASHMIR,2005,699.5,346.6,609.7,37
JAMMU & KASHMIR,2006,292.5,174.9,817.8,234.5
JAMMU & KASHMIR,2007,129,339.8,506.1,48.6
JAMMU & KASHMIR,2008,284.2,170.8,612,157.4
JAMMU & KASHMIR,2009,238.2,241.5,NA,NA
JAMMU & KASHMIR,2010,173.2,227.1,522.9,74.7
JAMMU & KASHMIR,2011,254.9,219.2,357.3,56.1
JAMMU & KASHMIR,2012,246.7,180.7,523,84.3
JAMMU & KASHMIR,2013,188.6,136.7,465.8,68.1
JAMMU & KASHMIR,2014,139.8,281.9,623.2,48.5
WEST RAJASTHAN,1998,8.7,11,201.6,58.3
WEST RAJASTHAN,1999,9.5,39.6,147.6,7.6
WEST RAJASTHAN,2000,1,7.7,225.1,1.5
WEST RAJASTHAN,2001,1.5,33.4,243.1,7.3
WEST RAJASTHAN,2002,3,13.7,67.2,8.6
WEST RAJASTHAN,2003,23.7,3,341.1,0.3
WEST RAJASTHAN,2004,2.4,10.8,163.3,20.3
WEST RAJASTHAN,2005,15.6,29.6,215.4,0.1
WEST RAJASTHAN,2006,0,28.6,324.4,8.3
WEST RAJASTHAN,2007,35,28.1,246.7,1
WEST RAJASTHAN,2008,1.8,43.6,269.5,9.1
WEST RAJASTHAN,2009,5.7,14.5,139.8,0.5
WEST RAJASTHAN,2010,3.6,4.1,439.2,26.2
WEST RAJASTHAN,2011,11.8,10.7,396.1,0.1
WEST RAJASTHAN,2012,0.5,19.9,304.3,2.5
WEST RAJASTHAN,2013,30.4,8.9,339,11.1
WEST RAJASTHAN,2014,3,36,262.6,0.7
EAST RAJASTHAN,1998,1.8,9.3,425.2,39.5
EAST RAJASTHAN,1999,6.5,6.4,379.9,15.6
EAST RAJASTHAN,2000,0.8,23.7,415,0.5
EAST RAJASTHAN,2001,1,29.5,505.7,15
EAST RAJASTHAN,2002,12.6,9.8,256.8,6
EAST RAJASTHAN,2003,25.4,4.2,594.4,2.5
EAST RAJASTHAN,2004,2.5,11.5,564.2,28
EAST RAJASTHAN,2005,4.1,16.7,547.1,0
EAST RAJASTHAN,2006,0,25.4,720,3
EAST RAJASTHAN,2007,17.5,17.6,540.1,0.5
EAST RAJASTHAN,2008,0.1,31.6,607.3,5.5
EAST RAJASTHAN,2009,0.7,8.4,386.7,18.4
EAST RAJASTHAN,2010,4.3,1.6,628.3,55.2
EAST RAJASTHAN,2011,11.2,5.9,784.9,0
EAST RAJASTHAN,2012,1.9,13.1,678,0.6
EAST RAJASTHAN,2013,23.1,4.6,776.1,32.2
EAST RAJASTHAN,2014,38.4,22.1,618.4,4.4
WEST MADHYA PRADESH,1998,3.1,11.3,867,45.5
WEST MADHYA PRADESH,1999,32,4.5,929.8,86.5
WEST MADHYA PRADESH,2000,NA,30.3,581.7,1.4
WEST MADHYA PRADESH,2001,2.2,23.5,699.1,62.2
WEST MADHYA PRADESH,2002,20.1,7.1,644.4,12.6
WEST MADHYA PRADESH,2003,22.2,1.4,919.2,3.6
WEST MADHYA PRADESH,2004,16.8,5.3,779.2,46.7
WEST MADHYA PRADESH,2005,16.8,20.3,712.4,2.7
WEST MADHYA PRADESH,2006,0,70.4,1073.5,25.2
WEST MADHYA PRADESH,2007,13.3,17.8,764.3,11.1
WEST MADHYA PRADESH,2008,0.4,8.8,761.5,20.5
WEST MADHYA PRADESH,2009,5.5,7.9,689.4,174.1
WEST MADHYA PRADESH,2010,7.6,1.4,748.3,19
WEST MADHYA PRADESH,2011,1.7,5.5,1056.5,0.2
WEST MADHYA PRADESH,2012,6.2,4,1023,2.1
WEST MADHYA PRADESH,2013,32.8,11.7,1280.4,71.4
WEST MADHYA PRADESH,2014,60,7.5,771.6,25.8
EAST MADHYA PRADESH,1998,35.4,32.2,892.1,53.8
EAST MADHYA PRADESH,1999,22.7,4.8,1337.4,79
EAST MADHYA PRADESH,2000,0.1,7.5,864.9,1.8
EAST MADHYA PRADESH,2001,3.1,37.7,1018.2,111
EAST MADHYA PRADESH,2002,31.5,6.6,862.2,49.9
EAST MADHYA PRADESH,2003,60.3,3.7,1350.2,23.8
EAST MADHYA PRADESH,2004,20.2,5.7,900.2,29.3
EAST MADHYA PRADESH,2005,45.8,72.5,1216.1,32
EAST MADHYA PRADESH,2006,0,82.5,832.6,28.4
EAST MADHYA PRADESH,2007,33.3,17.7,575.3,27.5
EAST MADHYA PRADESH,2008,5.5,16.7,962.2,18.9
EAST MADHYA PRADESH,2009,15.7,8.2,752.8,167.1
EAST MADHYA PRADESH,2010,13.2,2.4,907,37.8
EAST MADHYA PRADESH,2011,2.5,12.1,1259.4,1.1
EAST MADHYA PRADESH,2012,40,2.9,990.9,19.2
EAST MADHYA PRADESH,2013,45.4,23.9,1326.9,125.7
EAST MADHYA PRADESH,2014,81.8,25.3,746.6,71.2
GUJARAT REGION,1998,0.1,0,966.7,103.2
GUJARAT REGION,1999,2,7.4,489.6,69.5
GUJARAT REGION,2000,0.1,36.1,510.6,3.9
GUJARAT REGION,2001,6.1,2.3,811.5,29
GUJARAT REGION,2002,4.1,0.1,632.2,0.8
GUJARAT REGION,2003,6.1,0.1,1152.2,1.9
GUJARAT REGION,2004,0,4.4,979.1,22.3
GUJARAT REGION,2005,0,0.3,1314.7,1.4
GUJARAT REGION,2006,0,1.1,1464.9,12.1
GUJARAT REGION,2007,0.5,0.3,1176.7,1.4
GUJARAT REGION,2008,0,3.3,893.9,14
GUJARAT REGION,2009,0,0.3,605.7,35.5
GUJARAT REGION,2010,0.2,0,1035,53.4
GUJARAT REGION,2011,0.2,0,889.8,0.4
GUJARAT REGION,2012,0.1,0,706.7,7.1
GUJARAT REGION,2013,0.9,4.7,1059.6,53.3
GUJARAT REGION,2014,5.8,2.5,692.8,4.6
SAURASHTRA & KUTCH,1998,0,0,415.2,151.6
SAURASHTRA & KUTCH,1999,11.8,131.9,144.2,92.9
SAURASHTRA & KUTCH,2000,0,2.9,280.9,2.3
SAURASHTRA & KUTCH,2001,0,1,501.5,7.6
SAURASHTRA & KUTCH,2002,0,0,307,1
SAURASHTRA & KUTCH,2003,0.4,0,682.7,3
SAURASHTRA & KUTCH,2004,0.2,13.6,448.6,19.8
SAURASHTRA & KUTCH,2005,0,0.4,629.4,1.7
SAURASHTRA & KUTCH,2006,0,1.9,697.7,2.3
SAURASHTRA & KUTCH,2007,1.9,0.3,885.7,2.8
SAURASHTRA & KUTCH,2008,0.2,0.6,593,14.1
SAURASHTRA & KUTCH,2009,0,0.1,592,4.9
SAURASHTRA & KUTCH,2010,0.1,0.1,1043.7,75.9
SAURASHTRA & KUTCH,2011,1.4,0,739.8,1.3
SAURASHTRA & KUTCH,2012,0,0.2,320.1,3.4
SAURASHTRA & KUTCH,2013,1.9,8.7,642.5,28.6
SAURASHTRA & KUTCH,2014,0.3,2.7,373,7.8
KONKAN & GOA,1998,0,9.7,2900.6,324.4
KONKAN & GOA,1999,0,67.1,2664.5,180.4
KONKAN & GOA,2000,1.2,191.2,2841.2,99.7
KONKAN & GOA,2001,5.6,62.4,2232.7,94.7
KONKAN & GOA,2002,0,12.3,2446.4,78.6
KONKAN & GOA,2003,1.2,13.2,2771.6,56.3
KONKAN & GOA,2004,0,57.2,2885.5,43.1
KONKAN & GOA,2005,1.4,15.6,3522.2,76.6
KONKAN & GOA,2006,0,221.7,3035.6,224.9
KONKAN & GOA,2007,0,36.9,3369.9,61.7
KONKAN & GOA,2008,0.1,43,2949.3,60.6
KONKAN & GOA,2009,0,5.9,2282.2,428.5
KONKAN & GOA,2010,2.7,9.7,3467.4,298.3
KONKAN & GOA,2011,0,4.5,3697.3,123.5
KONKAN & GOA,2012,0,1.7,2839.3,177.4
KONKAN & GOA,2013,7.3,18.7,3345.2,152.8
KONKAN & GOA,2014,6.6,23.8,2608.8,118.4
MADHYA MAHARASHTRA,1998,0.2,21.4,894.8,184.7
MADHYA MAHARASHTRA,1999,6.7,39.3,742.1,177.7
MADHYA MAHARASHTRA,2000,1.5,20.5,618.2,61.3
MADHYA MAHARASHTRA,2001,4.4,13.5,635.4,131.8
MADHYA MAHARASHTRA,2002,4.9,28.3,664.7,42.3
MADHYA MAHARASHTRA,2003,3,22.3,714.2,33.1
MADHYA MAHARASHTRA,2004,0.2,53.7,925.5,50.2
MADHYA MAHARASHTRA,2005,4,20.5,1134.2,62.7
MADHYA MAHARASHTRA,2006,0,49.7,1260.4,85.6
MADHYA MAHARASHTRA,2007,1.7,7.6,1023.7,7.3
MADHYA MAHARASHTRA,2008,0,19.9,835.9,61.1
MADHYA MAHARASHTRA,2009,1.7,8.9,709.4,221.8
MADHYA MAHARASHTRA,2010,3,8.6,865.3,150.6
MADHYA MAHARASHTRA,2011,0.3,8.2,781.3,62.8
MADHYA MAHARASHTRA,2012,0,4.4,588.1,97.3
MADHYA MAHARASHTRA,2013,5.3,12.4,881.5,63.1
MADHYA MAHARASHTRA,2014,9.3,61.7,682.6,84.4
MATATHWADA,1998,0.5,13.8,930.5,181.9
MATATHWADA,1999,6,18,623.6,119.9
MATATHWADA,2000,4.2,17.2,629.9,33.2
MATATHWADA,2001,5.3,11.2,544.6,171.3
MATATHWADA,2002,9.6,15.3,646,51.3
MATATHWADA,2003,3.4,35.7,653.1,27.8
MATATHWADA,2004,1.7,37.8,553.9,85.3
MATATHWADA,2005,13.8,15.3,810.9,100.5
MATATHWADA,2006,0,59.1,761.5,52.3
MATATHWADA,2007,0,10.8,695.3,8.5
MATATHWADA,2008,0.1,20.2,591.7,34.2
MATATHWADA,2009,0,8.4,529.8,130.7
MATATHWADA,2010,10,9.2,897.8,94.5
MATATHWADA,2011,3.8,7.3,627.7,24.8
MATATHWADA,2012,0,2.9,454.7,69.1
MATATHWADA,2013,10.9,16.9,745.3,114.8
MATATHWADA,2014,14.8,97.9,398.8,37.4
VIDARBHA,1998,27.4,35.1,883.1,116.1
VIDARBHA,1999,21.1,33.5,1004.9,105.5
VIDARBHA,2000,16.4,29,1048.2,11.5
VIDARBHA,2001,9,41.4,937.8,134
VIDARBHA,2002,6.3,12.1,870.3,37.1
VIDARBHA,2003,4.4,9.3,960.1,44.7
VIDARBHA,2004,15.8,16.3,665,34.8
VIDARBHA,2005,81.8,11.7,1033.7,87.4
VIDARBHA,2006,0,87.7,1073,54.8
VIDARBHA,2007,1.4,5.8,1130,29.8
VIDARBHA,2008,2.1,24.9,814.2,25.4
VIDARBHA,2009,0.1,9.2,654.6,106.9
VIDARBHA,2010,15.9,9.6,1221.2,91.3
VIDARBHA,2011,1.2,8.4,878.8,4.7
VIDARBHA,2012,3.2,0.8,1061.5,42.2
VIDARBHA,2013,19.6,7,1360,133.5
